contact_id,season_year,tenure,percent_total_used,flash_profit_loss,renewed
112787,2014-2015,19,0,0,
363143,2014-2015,10,0.86627907,0,
21092211,2014-2015,1,0.837209302,0.001788909,
2381937,2014-2015,4,0.976744186,0,
100929,2014-2015,19,0.720930233,0.004429679,
132345,2014-2015,17,0.686046512,0.03681086,
21001600,2014-2015,1,0.941860465,0,
9174882,2014-2015,3,0.924418605,0,
1656953,2014-2015,5,0.906976744,0,
132950,2014-2015,15,0.813953488,0,
129034,2014-2015,17,0,0,
147349,2014-2015,15,0.86627907,0,
130706,2014-2015,18,0.825581395,0,
153107,2014-2015,19,0.906976744,0,
4770214,2014-2015,7,0.604651163,0,
189696,2014-2015,13,0.854651163,0,
109212,2014-2015,19,0.848837209,0.048959608,
141156,2014-2015,17,0.906976744,0,
119981,2014-2015,19,0.558139535,0,
1688951,2014-2015,5,0.86627907,0,
1858286,2014-2015,4,0.903100775,0,
102689,2014-2015,19,0.837209302,0,
7097527,2014-2015,6,0.930232558,0,
102623,2014-2015,19,0.023255814,0.007155635,
108365,2014-2015,19,0,0,
3962702,2014-2015,8,0.604651163,-0.024709302,
119332,2014-2015,19,0.744186047,0,
109784,2014-2015,19,0.988372093,0,
135370,2014-2015,19,0.790697674,0,
128803,2014-2015,18,0,0,
130915,2014-2015,15,0.162790698,-0.004384867,
110510,2014-2015,19,0.023255814,0,
125503,2014-2015,18,0,0,
132092,2014-2015,17,0.860465116,0,
105714,2014-2015,19,0.674418605,0,
127362,2014-2015,18,0.76744186,0,
220242,2014-2015,12,0.790697674,0,
100687,2014-2015,19,0.61627907,0,
18509371,2014-2015,1,0.697674419,0.051827529,
122104,2014-2015,19,0.88372093,0,
14339063,2014-2015,1,0.906976744,0,
103789,2014-2015,19,0.918604651,0,
111522,2014-2015,19,0.930232558,0,
487934,2014-2015,8,0.784883721,0,
1683058,2014-2015,5,0.906976744,0,
286898,2014-2015,11,0.430232558,0,
140969,2014-2015,18,0.720930233,0,
453308,2014-2015,9,0,0,
106231,2014-2015,19,0.895348837,0,
218053,2014-2015,12,0.76744186,0,
4818985,2014-2015,3,0.872093023,0,
8084673,2014-2015,5,0.767857143,0,
6884429,2014-2015,6,1,0,
8098434,2014-2015,5,0.697674419,0,
107540,2014-2015,19,0.88372093,0.007418331,
125437,2014-2015,17,0.76744186,0,
9437667,2014-2015,2,0.833333333,-0.065208065,
14088999,2014-2015,1,0.924418605,0,
106979,2014-2015,19,0.790697674,0,
9323112,2014-2015,2,0.779069767,0.021466905,
13924019,2014-2015,1,0.744186047,0,
450130,2014-2015,9,0.906976744,0,
21065513,2014-2015,1,0.843023256,0,
12023991,2014-2015,1,0.959302326,0,
135964,2014-2015,19,0.720930233,0,
146458,2014-2015,15,0.720930233,0,
246728,2014-2015,12,0.837209302,0,
148174,2014-2015,15,0.918604651,0,
116538,2014-2015,19,0.941860465,0,
4812883,2014-2015,7,0.593023256,0,
120168,2014-2015,19,0.73255814,0.111627907,
137603,2014-2015,19,0.877906977,0,
1667182,2014-2015,5,0.804651163,0,
17909125,2014-2015,1,0.88372093,0.023255814,
137691,2014-2015,19,0.604651163,-0.11369509,
101611,2014-2015,19,0.639534884,0.021860465,
104603,2014-2015,19,0.755813953,0,
17039064,2014-2015,1,0.779069767,0,
1848856,2014-2015,4,0.918604651,0,
106000,2014-2015,19,0.88372093,0,
136866,2014-2015,19,0.534883721,0,
296665,2014-2015,11,0.825581395,0,
359489,2014-2015,10,0.73255814,0,
20987234,2014-2015,1,0.720930233,-0.006976744,
250118,2014-2015,12,0.889534884,0,
4044792,2014-2015,7,0.813953488,0,
104372,2014-2015,19,0.854651163,0,
6883264,2014-2015,6,0.662790698,0,
143323,2014-2015,15,0.837209302,0,
9266984,2014-2015,2,0.877906977,0,
113282,2014-2015,19,0.5,0,
122555,2014-2015,1,0,0,
141904,2014-2015,18,0.773255814,0,
122797,2014-2015,19,0.779069767,-0.018604651,
6014064,2014-2015,3,0.651162791,0.101252236,
9353777,2014-2015,2,0.709302326,0.057602862,
485300,2014-2015,8,0.581395349,0,
2336012,2014-2015,4,0.348837209,-0.157781753,
7224683,2014-2015,6,0.941860465,0,
134358,2014-2015,19,0.860465116,0,
2110339,2014-2015,4,0.976744186,0,
362715,2014-2015,10,0.86627907,0,
1545232,2014-2015,7,0,0,
18069003,2014-2015,1,0.953488372,0,
5679150,2014-2015,3,0.947674419,0,
489427,2014-2015,8,0.674418605,0,
174478,2014-2015,19,0.645348837,0,
135447,2014-2015,19,0.930232558,0,
9185758,2014-2015,3,0.976744186,0,
105406,2014-2015,19,0.895348837,0,
1700892,2014-2015,5,0.093023256,0.033094812,
2464457,2014-2015,4,0.534883721,0,
9214523,2014-2015,3,0.779069767,0.024186047,
491670,2014-2015,8,0.895348837,0,
15433992,2014-2015,1,0.988372093,0,
121213,2014-2015,19,0.889534884,0,
119761,2014-2015,19,0.627906977,0,
1696379,2014-2015,5,1,0,
9226777,2014-2015,3,0.11627907,0.004186047,
21100169,2014-2015,1,0.069767442,-0.003100775,
7136713,2014-2015,6,0.709302326,0,
356469,2014-2015,10,0.630952381,-0.100022894,
1673219,2014-2015,5,0.046511628,0,
