contact_id,seats,seat_end,seat_start,number_seats,years,num_years,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,renewed,tenure,wins,ot_losses
9228782,[5],5,5,1,"[2016, 2017, 2018, 2019]",4,0.9476744186046512,0.5487804878048781,172,80602,15.476016064492825,"['314', '308']",2,1,0,0,1,male,2,2018-2019,0.0,1.0,7,38,14
9231623,"[4, 3, 2, 1]",4,1,4,"[2016, 2017, 2018, 2019]",4,0.926829268292683,0.5487804878048781,82,80223,4.0704606158323955,"['112', '138']",2,1,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
9232556,"[18, 17]",18,17,2,"[2016, 2017, 2018, 2019]",4,0.8658536585365854,0.5487804878048781,82,80504,31.139411287968425,['254'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,7,38,14
9239498,"[16, 15]",16,15,2,"[2016, 2017, 2018, 2019]",4,0.8536585365853658,0.5487804878048781,82,80921,51.97091242945378,['110'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9243145,"[11, 12]",12,11,2,"[2016, 2017, 2018, 2019]",4,0.926829268292683,0.5487804878048781,82,80241,12.76289518329032,['306'],1,0,0,0,1,male,2,2018-2019,1.0,0.0,1,38,14
9245018,"[1, 2]",2,1,2,"[2016, 2017, 2019]",3,0.9512195121951219,0.5487804878048781,82,80202,0.41975542715115144,['108'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
9248656,"[2, 1]",2,1,2,"[2016, 2017, 2018, 2019]",4,0.8902439024390244,0.5487804878048781,82,80026,19.34983728687784,['114'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,3,38,14
9251567,"[6, 5]",6,5,2,"[2016, 2017, 2018, 2019]",4,0.78,0.5487804878048781,100,80205,2.1536172516902488,"['120', '116']",2,1,1,0,0,male,2,2018-2019,0.0,1.0,4,38,14
9252303,"[2, 3, 4, 1]",4,1,4,"[2016, 2017, 2018, 2019]",4,1.0,0.5487804878048781,82,80247,7.9176443614549346,['340'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,1,38,14
9252338,"[1, 2]",2,1,2,"[2016, 2017, 2018, 2019]",4,0.8048780487804879,0.5487804878048781,82,92123,11.042246228688796,['322'],1,0,0,0,1,male,2,2018-2019,0.0,0.0,1,38,14
9256719,"[14, 13]",14,13,2,"[2016, 2017, 2018, 2019]",4,0.9418604651162791,0.5487804878048781,86,80005,9.195563944476039,"['362', '359', '142']",3,1,1,0,1,female,1,2018-2019,0.0,1.0,4,38,14
9257986,[6],6,6,1,"[2016, 2017, 2018, 2019]",4,0.9349593495934959,0.5487804878048781,123,80226,5.133145076472918,['364'],1,0,0,0,1,female,1,2018-2019,0.0,0.0,6,38,14
9261777,"[9, 6, 8, 10, 4, 11, 5, 3, 7]",11,3,9,"[2016, 2017, 2018, 2019]",4,0.926829268292683,0.5487804878048781,82,80424,60.74802992662824,['126'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
9262163,"[15, 16]",16,15,2,"[2016, 2019]",2,0.926829268292683,0.5487804878048781,82,80004,7.322651155569051,['330'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,2,38,14
9262996,"[1, 2, 3, 4]",4,1,4,"[2016, 2019]",2,0.7894736842105263,0.5487804878048781,152,80516,22.176966296199538,['124'],1,0,1,0,0,male,2,2018-2019,0.0,0.0,1,38,14
9264186,"[8, 9]",9,8,2,"[2016, 2017, 2019]",3,0.9024390243902439,0.5487804878048781,82,80108,22.2594855961173,['244'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,6,38,14
9265239,"[2, 1]",2,1,2,"[2016, 2017, 2018, 2019]",4,0.926829268292683,0.5487804878048781,82,80111,10.996835490559503,['342'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,1,38,14
9266984,"[13, 12]",13,12,2,"[2016, 2017, 2018, 2019]",4,0.8353658536585366,0.5487804878048781,164,80401,10.78147262646119,['124'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,6,38,14
9269736,"[2, 3, 1]",3,1,3,"[2016, 2017, 2018, 2019]",4,0.6842105263157895,0.5487804878048781,38,81007,93.70480876722068,['333'],1,0,0,0,1,female,1,2018-2019,0.0,0.0,1,38,14
9273980,"[5, 6]",6,5,2,"[2017, 2018, 2019]",3,0.8414634146341463,0.5487804878048781,82,80033,5.12969523409558,['134'],1,0,1,0,0,mostly_female,1,2018-2019,0.0,1.0,2,38,14
9273991,"[20, 21]",21,20,2,"[2017, 2018, 2019]",3,1.0,0.5487804878048781,82,80033,5.12969523409558,['322'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,6,38,14
9281610,"[1, 2]",2,1,2,"[2017, 2019]",2,0.5975609756097561,0.5487804878048781,82,80648,74.33681124953641,['236'],1,0,0,1,0,male,2,2018-2019,0.0,0.0,2,38,14
9282512,"[12, 11, 13, 14]",14,11,4,"[2017, 2018, 2019]",3,0.8658536585365854,0.5487804878048781,82,80237,9.129757048485972,['308'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,3,38,14
9285081,"[23, 22, 1, 6]",23,1,23,"[2017, 2018, 2019]",3,0.4268292682926829,0.5487804878048781,164,80504,31.139411287968425,['238'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,6,38,14
9286795,"[8, 7]",8,7,2,"[2017, 2018, 2019]",3,0.926829268292683,0.5487804878048781,82,80013,14.067601845680528,['318'],1,0,0,0,1,female,1,2018-2019,0.0,1.0,1,38,14
9287516,"[1, 2]",2,1,2,"[2017, 2018, 2019]",3,0.8780487804878049,0.5487804878048781,41,80226,5.133145076472918,['240'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,6,38,14
9287685,"[4, 1, 3, 2]",4,1,4,"[2017, 2018, 2019]",3,0.8902439024390244,0.5487804878048781,82,80104,32.883852710018104,"['120', '331', '335']",3,1,1,0,1,mostly_female,1,2018-2019,0.0,1.0,1,38,14
9288133,"[2, 1, 9, 10]",10,1,10,"[2017, 2018, 2019]",3,0.9146341463414634,0.5487804878048781,82,81631,96.76841319288508,['302'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,6,38,14
